"","second","amplitude","pair","player","session"
"162",39.15,0.00989231988450309,"01","1","1"
"163",39.3,0.00117911652550158,"01","1","1"
"164",39.45,0.000743605638747701,"01","1","1"
"165",39.6,0.000191727967844991,"01","1","1"
"166",39.75,9.89904671578937e-05,"01","1","1"
"167",39.9,9.28605584834957e-05,"01","1","1"
"168",40.05,8.80386226096413e-05,"01","1","1"
"169",40.2,8.72310279924678e-05,"01","1","1"
"170",40.35,9.00462349343197e-05,"01","1","1"
"171",40.5,9.9210623392626e-05,"01","1","1"
"172",40.65,0.000119699637696319,"01","1","1"
"173",40.8,0.000170379907585916,"01","1","1"
"174",40.95,0.000332931601610654,"01","1","1"
"175",41.1,0.0259215347575239,"01","1","1"
"176",41.25,0.0565366790124843,"01","1","1"
"177",41.4,0.0187634604151476,"01","1","1"
"178",41.55,0.0568704542795166,"01","1","1"
"179",41.7,0.0120824460422551,"01","1","1"
"180",41.85,0.00678617508824391,"01","1","1"
"181",42,0.000823551723694879,"01","1","1"
"182",42.15,0.0740184563574028,"01","1","1"
"183",42.3,0.0214625645091057,"01","1","1"
"184",42.45,0.00395928636302851,"01","1","1"
"185",42.6,0.00170783438988687,"01","1","1"
"186",42.75,0.0564188898095144,"01","1","1"
"187",42.9,0.0177835925332744,"01","1","1"
"188",43.05,0.0029568948791282,"01","1","1"
"189",43.2,0.00117649372403374,"01","1","1"
"190",43.35,0.0460544072892359,"01","1","1"
"191",43.5,0.0171730274308806,"01","1","1"
"192",43.65,0.00649518995162861,"01","1","1"
"193",43.8,0.00171665560604482,"01","1","1"
"194",43.95,0.000676703971645664,"01","1","1"
"195",44.1,0.000824960276391186,"01","1","1"
"196",44.25,0.000521875359093114,"01","1","1"
"197",44.4,0.000638395245647472,"01","1","1"
"198",44.55,0.00145623344125928,"01","1","1"
"199",44.7,0.095167427206698,"01","1","1"
"200",44.85,0.0279952388929697,"01","1","1"
"201",45,0.0047412725374105,"01","1","1"
"202",45.15,0.0978499534694313,"01","1","1"
"203",45.3,0.0310022234398972,"01","1","1"
"204",45.45,0.00596685546151356,"01","1","1"
"205",45.6,0.000966377781520973,"01","1","1"
"206",45.75,0.0491448428912823,"01","1","1"
"207",45.9,0.0116281379475992,"01","1","1"
"208",46.05,0.00167226332623896,"01","1","1"
"209",46.2,0.131636128472031,"01","1","1"
"210",46.35,0.043416533887278,"01","1","1"
"211",46.5,0.0115865565661012,"01","1","1"
"212",46.65,0.0245366539464086,"01","1","1"
"213",46.8,0.0343231096050971,"01","1","1"
"214",46.95,0.00748014665209528,"01","1","1"
"215",47.1,0.00147194676527116,"01","1","1"
"216",47.25,0.000335419386752912,"01","1","1"
"217",47.4,0.000143954191873086,"01","1","1"
"218",47.55,0.000110800882889797,"01","1","1"
"219",47.7,0.000131095496097525,"01","1","1"
"220",47.85,0.000166844831523873,"01","1","1"
"221",48,0.000243043401070676,"01","1","1"
"222",48.15,0.000497877532133817,"01","1","1"
"223",48.3,0.0868795161007407,"01","1","1"
"224",48.45,0.0272652165783286,"01","1","1"
"225",48.6,0.00579631168838637,"01","1","1"
"226",48.75,0.00172486415249237,"01","1","1"
"227",48.9,0.000158792872936119,"01","1","1"
"228",49.05,0.000159120859449307,"01","1","1"
"229",49.2,7.87894141003586e-05,"01","1","1"
"230",49.35,8.67169336072303e-05,"01","1","1"
"231",49.5,0.000100254390482023,"01","1","1"
"232",49.65,0.000136330577675351,"01","1","1"
"233",49.8,0.00028523565058338,"01","1","1"
"234",49.95,0.140470722264208,"01","1","1"
"235",50.1,0.0332681724846364,"01","1","1"
"236",50.25,0.00573306394103973,"01","1","1"
"237",50.4,0.00112992219264338,"01","1","1"
"238",50.55,0.000174900297475403,"01","1","1"
"239",50.7,7.2349054643727e-05,"01","1","1"
"240",50.85,8.55543544199065e-05,"01","1","1"
"241",51,0.000100987674306421,"01","1","1"
"242",51.15,0.000126960920418542,"01","1","1"
"243",51.3,0.000192944222344855,"01","1","1"
"244",51.45,0.000904379703885318,"01","1","1"
"245",51.6,0.0702248078553277,"01","1","1"
"246",51.75,0.0166112564645381,"01","1","1"
"247",51.9,0.130067148289047,"01","1","1"
"248",52.05,0.0471576911292086,"01","1","1"
"249",52.2,0.0108397740935674,"01","1","1"
"250",52.35,0.00221032171446206,"01","1","1"
"251",52.5,0.304143359427785,"01","1","1"
"252",52.65,0.137224653241033,"01","1","1"
"253",52.8,0.0328314990320551,"01","1","1"
"254",52.95,0.00708812813691777,"01","1","1"
"255",53.1,0.00115949405532672,"01","1","1"
"256",53.25,0.000117443008318911,"01","1","1"
"257",53.4,4.05853378621143e-05,"01","1","1"
"258",53.55,5.33666146615257e-05,"01","1","1"
"259",53.7,6.40171951977811e-05,"01","1","1"
"260",53.85,7.5099108990017e-05,"01","1","1"
"261",54,8.60520828821409e-05,"01","1","1"
"262",54.15,9.94007284324736e-05,"01","1","1"
"263",54.3,0.000114572599223304,"01","1","1"
"264",54.45,0.000135420287142123,"01","1","1"
"265",54.6,0.000163754497926788,"01","1","1"
"266",54.75,0.000215392777226309,"01","1","1"
"267",54.9,0.00126984016293663,"01","1","1"
"268",55.05,0.182898667431683,"01","1","1"
"269",55.2,0.0482402305690084,"01","1","1"
"270",55.35,0.143769739458559,"01","1","1"
"271",55.5,0.0405966121351578,"01","1","1"
"272",55.65,0.00286956243759345,"01","1","1"
"273",55.8,0.0590225549588926,"01","1","1"
"274",55.95,0.0145632959979049,"01","1","1"
"275",56.1,0.00278679062763619,"01","1","1"
"276",56.25,0.000339366447329809,"01","1","1"
"277",56.4,6.53718583180782e-05,"01","1","1"
"278",56.55,2.43823574029336e-05,"01","1","1"
"279",56.7,2.82332710186434e-05,"01","1","1"
"280",56.85,3.29694530475922e-05,"01","1","1"
"281",57,3.83695980802796e-05,"01","1","1"
"282",57.15,4.5610210885683e-05,"01","1","1"
"283",57.3,5.34952330980196e-05,"01","1","1"
"284",57.45,6.47250171880165e-05,"01","1","1"
"285",57.6,7.95679152804964e-05,"01","1","1"
"286",57.75,0.000115916878826654,"01","1","1"
"287",57.9,0.31747036013403,"01","1","1"
"288",58.05,0.131762600705081,"01","1","1"
"289",58.2,0.0298715097083392,"01","1","1"
"290",58.35,0.0760992224042283,"01","1","1"
"291",58.5,0.0162464753231968,"01","1","1"
"292",58.65,0.225989961866307,"01","1","1"
"293",58.8,0.046378339320802,"01","1","1"
"294",58.95,0.00957574381273588,"01","1","1"
"295",59.1,0.287060270375834,"01","1","1"
"296",59.25,0.106445482382174,"01","1","1"
"297",59.4,0.0233148780210654,"01","1","1"
"298",59.55,0.00452845646302133,"01","1","1"
"299",59.7,0.000798949136167623,"01","1","1"
"300",59.85,7.31242285652758e-05,"01","1","1"
"301",60,9.72954932728312e-06,"01","1","1"
"302",60.15,1.97763842006347e-05,"01","1","1"
"303",60.3,2.8083219729194e-05,"01","1","1"
"304",60.45,3.56630901256505e-05,"01","1","1"
"305",60.6,4.26233574037806e-05,"01","1","1"
"306",60.75,4.99000318204991e-05,"01","1","1"
"307",60.9,5.69401179092743e-05,"01","1","1"
"308",61.05,6.50330023567598e-05,"01","1","1"
"309",61.2,7.31840458949376e-05,"01","1","1"
"310",61.35,8.32882341688795e-05,"01","1","1"
"311",61.5,9.40279870510628e-05,"01","1","1"
"312",61.65,0.000108429449022243,"01","1","1"
"313",61.8,0.000125598554657718,"01","1","1"
"314",61.95,0.000154475578025177,"01","1","1"
"315",62.1,0.000282468934098784,"01","1","1"
"316",62.25,0.231271365028002,"01","1","1"
"317",62.4,0.0680445389346827,"01","1","1"
"318",62.55,0.108113246687736,"01","1","1"
"319",62.7,0.0389242143116963,"01","1","1"
"320",62.85,0.00696239089900033,"01","1","1"
"321",63,0.0941590143216329,"01","1","1"
"322",63.15,0.0252863344311575,"01","1","1"
"323",63.3,0.150770376002337,"01","1","1"
"324",63.45,0.0730117285886509,"01","1","1"
"325",63.6,0.194913034353275,"01","1","1"
"326",63.75,0.0665033006629353,"01","1","1"
"327",63.9,0.0131661644558837,"01","1","1"
"328",64.05,0.281779411436018,"01","1","1"
"329",64.2,0.10745881729502,"01","1","1"
"330",64.35,0.02303617776696,"01","1","1"
"331",64.5,0.00474755822414652,"01","1","1"
"332",64.65,0.000776060805128804,"01","1","1"
"333",64.8,9.04793756625966e-05,"01","1","1"
"334",64.95,4.90981549582164e-05,"01","1","1"
"335",65.1,4.01755302459538e-05,"01","1","1"
"336",65.25,3.38174488387025e-05,"01","1","1"
"337",65.4,2.76504737243e-05,"01","1","1"
"338",65.55,2.28695918272868e-05,"01","1","1"
"339",65.7,1.79117073668168e-05,"01","1","1"
"340",65.85,1.38549915938806e-05,"01","1","1"
"341",66,9.55713708870529e-06,"01","1","1"
"342",66.15,5.87126407577705e-06,"01","1","1"
"343",66.3,1.9592693943464e-06,"01","1","1"
"344",66.45,1.55903775794775e-06,"01","1","1"
"345",66.6,5.26294869985242e-06,"01","1","1"
"346",66.75,8.76256444005773e-06,"01","1","1"
"347",66.9,1.23987860151352e-05,"01","1","1"
"348",67.05,1.60122357931334e-05,"01","1","1"
"349",67.2,1.97124533116914e-05,"01","1","1"
"350",67.35,2.35792182974013e-05,"01","1","1"
"351",67.5,2.74879846322378e-05,"01","1","1"
"352",67.65,3.1777235612627e-05,"01","1","1"
"353",67.8,3.60769922303115e-05,"01","1","1"
"354",67.95,4.10197528800632e-05,"01","1","1"
"355",68.1,4.59705694638222e-05,"01","1","1"
"356",68.25,5.19172432109243e-05,"01","1","1"
"357",68.4,5.79341650695248e-05,"01","1","1"
"358",68.55,6.54761056003862e-05,"01","1","1"
"359",68.7,7.33072391361741e-05,"01","1","1"
"360",68.85,8.35820484877172e-05,"01","1","1"
"361",69,9.4810386303313e-05,"01","1","1"
"362",69.15,0.000110481821920642,"01","1","1"
"363",69.3,0.000129478285467407,"01","1","1"
"364",69.45,0.000159673209253846,"01","1","1"
"365",69.6,0.000209033710632871,"01","1","1"
"366",69.75,0.000372458704594576,"01","1","1"
"367",69.9,0.097241005200649,"01","1","1"
"368",70.05,0.023698293731998,"01","1","1"
"369",70.2,0.0489874562623441,"01","1","1"
"370",70.35,0.0536005290714672,"01","1","1"
"371",70.5,0.0121890767203898,"01","1","1"
"372",70.65,0.0869556976474556,"01","1","1"
"373",70.8,0.0277356914725226,"01","1","1"
"374",70.95,0.167843760559148,"01","1","1"
"375",71.1,0.044965763809304,"01","1","1"
"376",71.25,0.00821075007436029,"01","1","1"
"377",71.4,0.0893121267410333,"01","1","1"
"378",71.55,0.0241739972865598,"01","1","1"
"379",71.7,0.174858657902367,"01","1","1"
"380",71.85,0.0572155784160802,"01","1","1"
"381",72,0.0111906565057989,"01","1","1"
"382",72.15,0.0793167498862176,"01","1","1"
"383",72.3,0.0186642456968637,"01","1","1"
"384",72.45,0.00352509287041888,"01","1","1"
"385",72.6,0.000517794357593093,"01","1","1"
"386",72.75,8.85406128080425e-05,"01","1","1"
"387",72.9,3.94098535196815e-05,"01","1","1"
"388",73.05,3.55551172560016e-05,"01","1","1"
"389",73.2,3.35912949055309e-05,"01","1","1"
"390",73.35,3.25388623006612e-05,"01","1","1"
"391",73.5,2.90826594707823e-05,"01","1","1"
"392",73.65,2.69916673931119e-05,"01","1","1"
"393",73.8,2.30706773093046e-05,"01","1","1"
"394",73.95,2.05651160464844e-05,"01","1","1"
"395",74.1,1.64627732664707e-05,"01","1","1"
"396",74.25,1.36965172352217e-05,"01","1","1"
"397",74.4,9.43031394782156e-06,"01","1","1"
"398",74.55,6.38147787837253e-06,"01","1","1"
"399",74.7,1.85404353372262e-06,"01","1","1"
"400",74.85,1.59584487470313e-06,"01","1","1"
"401",75,6.56823163815822e-06,"01","1","1"
"402",75.15,1.06339622906779e-05,"01","1","1"
"403",75.3,1.63514685279354e-05,"01","1","1"
"404",75.45,2.14008856672959e-05,"01","1","1"
"405",75.6,2.83820764627671e-05,"01","1","1"
"406",75.75,3.50998672301837e-05,"01","1","1"
"407",75.9,4.43764039098618e-05,"01","1","1"
"408",76.05,5.43093381417314e-05,"01","1","1"
"409",76.2,6.86953585432894e-05,"01","1","1"
"410",76.35,8.82954694171037e-05,"01","1","1"
"411",76.5,0.00014800807034515,"01","1","1"
"412",76.65,0.250157802865129,"01","1","1"
"413",76.8,0.0872584087101406,"01","1","1"
"414",76.95,0.27646425926336,"01","1","1"
"415",77.1,0.043124466495783,"01","1","1"
"416",77.25,0.00876754586982481,"01","1","1"
"417",77.4,0.128699500285681,"01","1","1"
"418",77.55,0.0387179762430788,"01","1","1"
"419",77.7,0.00832934344932119,"01","1","1"
"420",77.85,0.133304765075065,"01","1","1"
"421",78,0.0481399594595197,"01","1","1"
"422",78.15,0.0124928266741985,"01","1","1"
"423",78.3,0.095436602941555,"01","1","1"
